NO2 AQI,O3 AQI,SO2 AQI,CO AQI,AQI,FIPS,COUNTY,State_y
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20029,Cloud,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20031,Coffey,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20033,Comanche,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20035,Cowley,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20037,Crawford,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20039,Decatur,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20041,Dickinson,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20043,Doniphan,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20045,Douglas,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20047,Edwards,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20049,Elk,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20051,Ellis,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20053,Ellsworth,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20055,Finney,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20057,Ford,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20059,Franklin,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20061,Geary,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20063,Gove,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20065,Graham,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20067,Grant,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20069,Gray,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20071,Greeley,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20073,Greenwood,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20075,Hamilton,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20077,Harper,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20079,Harvey,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20081,Haskell,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20083,Hodgeman,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20085,Jackson,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20087,Jefferson,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20089,Jewell,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20091,Johnson,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20093,Kearny,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20095,Kingman,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20097,Kiowa,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20099,Labette,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20101,Lane,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20103,Leavenworth,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20105,Lincoln,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20107,Linn,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20109,Logan,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20111,Lyon,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20113,McPherson,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20115,Marion,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20117,Marshall,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20119,Meade,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20121,Miami,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20123,Mitchell,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20125,Montgomery,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20127,Morris,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20129,Morton,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20131,Nemaha,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20133,Neosho,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20135,Ness,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20137,Norton,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20139,Osage,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20141,Osborne,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20143,Ottawa,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20145,Pawnee,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20147,Phillips,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20149,Pottawatomie,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20151,Pratt,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20153,Rawlins,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20155,Reno,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20157,Republic,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20159,Rice,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20161,Riley,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20163,Rooks,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20165,Rush,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20167,Russell,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20169,Saline,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20171,Scott,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20173,Sedgwick,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20175,Seward,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20177,Shawnee,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20179,Sheridan,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20181,Sherman,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20183,Smith,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20185,Stafford,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20187,Stanton,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20189,Stevens,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20191,Sumner,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20193,Thomas,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20195,Trego,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20197,Wabaunsee,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20199,Wallace,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20201,Washington,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20203,Wichita,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20205,Wilson,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,20207,Woodson,KS
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21001,Adair,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21003,Allen,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21005,Anderson,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21007,Ballard,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21009,Barren,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21011,Bath,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21013,Bell,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21015,Boone,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21017,Bourbon,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21019,Boyd,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21021,Boyle,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21023,Bracken,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21025,Breathitt,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21027,Breckinridge,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21029,Bullitt,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21031,Butler,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21033,Caldwell,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21035,Calloway,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21037,Campbell,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21039,Carlisle,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21041,Carroll,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21043,Carter,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21045,Casey,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21047,Christian,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21049,Clark,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21051,Clay,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21053,Clinton,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21055,Crittenden,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21057,Cumberland,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21059,Daviess,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21061,Edmonson,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21063,Elliott,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21065,Estill,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21067,Fayette,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21069,Fleming,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21071,Floyd,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21073,Franklin,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21075,Fulton,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21077,Gallatin,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21079,Garrard,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21081,Grant,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21083,Graves,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21085,Grayson,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21087,Green,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21089,Greenup,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21091,Hancock,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21093,Hardin,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21095,Harlan,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21097,Harrison,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21099,Hart,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21101,Henderson,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21103,Henry,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21105,Hickman,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21107,Hopkins,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21109,Jackson,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21111,Jefferson,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21113,Jessamine,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21115,Johnson,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21117,Kenton,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21119,Knott,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21121,Knox,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21123,Larue,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21125,Laurel,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21127,Lawrence,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21129,Lee,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21131,Leslie,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21133,Letcher,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21135,Lewis,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21137,Lincoln,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21139,Livingston,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21141,Logan,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21143,Lyon,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21145,McCracken,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21147,McCreary,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21149,McLean,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21151,Madison,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21153,Magoffin,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21155,Marion,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21157,Marshall,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21159,Martin,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21161,Mason,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21163,Meade,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21165,Menifee,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21167,Mercer,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21169,Metcalfe,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21171,Monroe,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21173,Montgomery,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21175,Morgan,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21177,Muhlenberg,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21179,Nelson,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21181,Nicholas,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21183,Ohio,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21185,Oldham,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21187,Owen,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21189,Owsley,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21191,Pendleton,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21193,Perry,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21195,Pike,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21197,Powell,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21199,Pulaski,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21201,Robertson,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21203,Rockcastle,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21205,Rowan,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21207,Russell,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21209,Scott,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21211,Shelby,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21213,Simpson,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21215,Spencer,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21217,Taylor,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21219,Todd,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21221,Trigg,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21223,Trimble,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21225,Union,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21227,Warren,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21229,Washington,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21231,Wayne,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21233,Webster,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21235,Whitley,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21237,Wolfe,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,21239,Woodford,KY
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22001,Acadia,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22003,Allen,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22005,Ascension,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22007,Assumption,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22009,Avoyelles,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22011,Beauregard,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22013,Bienville,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22015,Bossier,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22017,Caddo,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22019,Calcasieu,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22021,Caldwell,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22023,Cameron,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22025,Catahoula,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22027,Claiborne,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22029,Concordia,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22031,De Soto,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22035,East Carroll,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22037,East Feliciana,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22039,Evangeline,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22041,Franklin,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22043,Grant,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22045,Iberia,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22047,Iberville,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22049,Jackson,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22051,Jefferson,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22053,Jefferson Davis,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22055,Lafayette,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22057,Lafourche,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22059,La Salle,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22061,Lincoln,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22063,Livingston,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22065,Madison,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22067,Morehouse,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22069,Natchitoches,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22071,Orleans,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22073,Ouachita,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22075,Plaquemines,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22077,Pointe Coupee,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22079,Rapides,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22081,Red River,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22083,Richland,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22085,Sabine,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22087,St Bernard,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22089,St Charles,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22091,St Helena,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22093,St James,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22095,St John the Baptist,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22097,St Landry,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22099,St Martin,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22101,St Mary,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22103,St Tammany,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22105,Tangipahoa,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22107,Tensas,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22109,Terrebonne,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22111,Union,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22113,Vermilion,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22115,Vernon,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22117,Washington,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22119,Webster,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22121,West Baton Rouge,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22123,West Carroll,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22125,West Feliciana,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,22127,Winn,LA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23001,Androscoggin,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23005,Cumberland,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23007,Franklin,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23009,Hancock,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23011,Kennebec,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23013,Knox,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23015,Lincoln,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23017,Oxford,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23019,Penobscot,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23021,Piscataquis,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23023,Sagadahoc,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23025,Somerset,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23027,Waldo,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23029,Washington,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,23031,York,ME
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,24001,Allegany,MD
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,24003,Anne Arundel,MD
